 OBJECTID, Station Identifier, Station Name, Fuel Type Provided, Street Address, City Name, State Name, Postal Zipcode, Postal Route (US Addresses), Location Directions, Country Name, Phone Number, Station Status, Estimated Fuel Availability, Station Accessability, Access Restrictions, Access Days and Times, Accepted Payment Methods, Type of Ownership, Name of Owner, Blends of Biodiesel, Can Blend Ethanol, Ethanol Blends Available, CNG Dispenser Count, CNG Dispensing Capability, CNG Pressures Available (PSI), CNG Renewable Source, CNG Total Compression (CFM), CNG Total Storage (CF), CNG Max Vehicle Size, LNG Renewable Source, LNG Max Vehicle Size, LPG Nozzle Types Available, LPG Primary Station, Renewable Diesel Blends Available, Is Renewable Diesel Blended w/Biodiesel, Max Level of Biodiesel Blending, EV Level 1 EVSE Ports, EV Level 2 EVSE Ports, EV DC Fast Ports, EV Other EVSE Ports, EV Connector Types, EV Network Name, EV Network ID, EV Network Link, EV Pricing, EV Renewable Source, HY Is Retail, HY Pressures (BAR), HY Standards, HY Status Link, Station Coordinate Accuracy, Station Latitude (DD), Station Longitude (DD), Date Fuel Available, Date Details Confirmed, Date Details Updated, Location Facility Type, Indications d'emplacement (French), Jours et heures d'accès (French), Mélanges de biodiesel (French), Mélanges de diesel renouvelables disponibles (French), Tarification des VÉ (French), Has Access Restrictions,x,y
1893,33378,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,Electric,1945 SE Water Ave,Portland,OR,97214,,Under solar canopy in east parking lot,United States,800-955-6674,Available,,Public,,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,Privately Owned,,,,,,,,,,,,,,,,,,,2,2,,,"J1772, NEMA 5-15",Non-Networked,,,Free,SOLAR,,,,,GPS,45.508396,-122.664667,10/15/2008 12:00:00 AM,6/6/2025 12:00:00 AM,6/6/2025 6:42:11 PM,Museum,,,,,,False,-13654968.2688,5701916.2975
1951,33717,Seattle-Tacoma International Airport - General Parking,Electric,17801 Pacific Hwy S,Seattle,WA,98188,,7th floor parking garage,United States,206-787-5388,Available,,Public,,24 hours daily; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,"American Express, Cash, Credit, Discover, Debit, MasterCard, Visa",Privately Owned,,,,,,,,,,,,,,,,,,,,68,,,J1772,Non-Networked,,,$8.00 per hour parking fee; $37.00 per day parking fee,NONE,,,,,Address,47.443377,-122.296229,3/1/2010 12:00:00 AM,6/6/2025 12:00:00 AM,6/6/2025 6:42:11 PM,Airport,,,,,,False,-13613953.9382,6014747.1648
2037,34106,Discovery Center of Idaho,Electric,131 W Myrtle St,Boise,ID,83702,,,United States,208-343-9895,Available,,Public,,24 hours daily,,Privately Owned,,,,,,,,,,,,,,,,,,,,2,,,J1772,Non-Networked,,,Free,,,,,,GPS,43.608009,-116.197968,4/20/2017 12:00:00 AM,12/10/2024 12:00:00 AM,2/12/2025 12:16:32 AM,Museum,,,,,,False,-12935098.629,5404979.7147
2191,34849,City of Keizer - City Hall,Electric,930 Chemawa Rd NE,Salem,OR,97303,,,United States,503-390-3700,Available,,Public,,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,State/Provincial Government Owned,,,,,,,,,,,,,,,,,,,2,,,,NEMA 5-20,Non-Networked,,,Free,,,,,,Point,44.99574,-123.019758,10/15/2009 12:00:00 AM,6/6/2025 12:00:00 AM,6/6/2025 6:42:11 PM,Parking Lot,,,,,,False,-13694496.8181,5620850.8613
2192,34859,Nike - LA Garage,Electric,1 Bowerman Dr,Beaverton,OR,97006,,,United States,,Available,,Private,,For employee use only,,Privately Owned,,,,,,,,,,,,,,,,,,,,6,,,J1772,Non-Networked,,,,WIND,,,,,GPS,45.508795,-122.8249,2/21/2017 12:00:00 AM,1/10/2023 12:00:00 AM,3/17/2025 3:30:09 PM,Office Building,,,,,,,-13672805.3247,5701979.677
2283,35258,LINCOLN CITY TAFT DUAL 1,Electric,1226 SW 50th St,Lincoln City,OR,97367,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL226108,https://www.chargepoint.com,,,,,,,GPS,44.928439,-124.015824,5/15/2010 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:18:43 AM,,,,,,,False,-13805378.378,5610262.6979
2313,35480,LBCC LBCC DUAL 2,Electric,Ellingson Rd SW,Albany,OR,97321,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL214315,https://www.chargepoint.com,,,,,,,GPS,44.586123,-123.115389,1/15/2009 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:17:54 AM,,,,,,,False,-13705142.4123,5556598.6638
2333,35557,OEG,Electric,3200 NW Yeon Ave,Portland,OR,97210,,,United States,,Available,,Private,,Employee use only,,Privately Owned,,,,,,,,,,,,,,,,,,,,2,,,J1772,Non-Networked,,,,,,,,,Point,45.545898,-122.707102,11/1/2009 12:00:00 AM,6/6/2025 12:00:00 AM,6/6/2025 6:42:11 PM,Utility,,,,,,,-13659692.1114,5707875.2971
2358,35620,Avista Corp,Electric,1411 E Mission Ave,Spokane,WA,99252,,,United States,509-489-0500,Available,,Public,,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,Privately Owned,,,,,,,,,,,,,,,,,,,1,2,,,"J1772, NEMA 5-20",Non-Networked,,,Free,,,,,,GPS,47.673347,-117.388933,4/15/2010 12:00:00 AM,6/12/2023 12:00:00 AM,11/4/2025 8:46:59 PM,Office Building,,,,,,False,-13067676.2463,6052682.4455
2359,35621,Steam Plant Parking,Electric,130 S Post St,Spokane,WA,99201,,,United States,800-227-9187,Available,,Public,,24 hours daily,,Privately Owned,,,,,,,,,,,,,,,,,,,,6,,,J1772,Non-Networked,,,Free,,,,,,GPS,47.65579218,-117.4236637,4/15/2010 12:00:00 AM,4/6/2023 12:00:00 AM,11/4/2025 8:46:40 PM,Restaurant,,,,,,False,-13071542.4502,6049780.7656
