County,City,Name,Type
Thurston,Olympia,AUDI Q5 E,Vehicle
Yakima,Wapato,AUDI A3,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
King,Kent,AUDI E-TRON,Vehicle
Snohomish,Bothell,TESLA MODEL X,Vehicle
Snohomish,Lynnwood,KIA SOUL,Vehicle
Snohomish,Edmonds,NISSAN LEAF,Vehicle
Snohomish,Brier,KIA NIRO,Vehicle
Kitsap,Bremerton,HYUNDAI TUCSON,Vehicle
Sauk,Spring Green,JEEP WRANGLER,Vehicle
Snohomish,Monroe,TESLA MODEL Y,Vehicle
Snohomish,Bothell,TESLA MODEL S,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
Kitsap,Silverdale,TESLA MODEL S,Vehicle
Snohomish,Mukilteo,BMW X5,Vehicle
Yakima,Toppenish,TESLA MODEL S,Vehicle
Snohomish,Snohomish,TESLA MODEL Y,Vehicle
Kitsap,Bainbridge Island,NISSAN LEAF,Vehicle
Thurston,Olympia,TESLA MODEL S,Vehicle
Kitsap,Bainbridge Island,AUDI E-TRON,Vehicle
Thurston,Lacey,TESLA MODEL S,Vehicle
Thurston,Olympia,FORD C-MAX,Vehicle
Thurston,Olympia,NISSAN LEAF,Vehicle
Yakima,Zillah,TESLA MODEL 3,Vehicle
Kitsap,Port Orchard,NISSAN LEAF,Vehicle
Kitsap,Port Orchard,LINCOLN AVIATOR,Vehicle
King,Burien,TESLA MODEL 3,Vehicle
King,Kent,TESLA MODEL 3,Vehicle
King,Kirkland,SMART FORTWO,Vehicle
Kitsap,Port Orchard,AUDI E-TRON,Vehicle
Snohomish,Bothell,TESLA MODEL S,Vehicle
Island,Freeland,TESLA MODEL 3,Vehicle
Kitsap,Port Orchard,LEXUS NX,Vehicle
Yakima,Yakima,TESLA MODEL S,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
Kitsap,Bainbridge Island,TESLA MODEL 3,Vehicle
Snohomish,Everett,TESLA MODEL 3,Vehicle
Snohomish,Mukilteo,TESLA MODEL S,Vehicle
Thurston,Lacey,NISSAN LEAF,Vehicle
Snohomish,Lynnwood,KIA SPORTAGE,Vehicle
King,Burien,KIA NIRO,Vehicle
Thurston,Yelm,NISSAN LEAF,Vehicle
Yakima,Yakima,KIA NIRO,Vehicle
Fresno,Fresno,TESLA MODEL S,Vehicle
Whitman,Pullman,TESLA MODEL 3,Vehicle
Yakima,Moxee,TESLA MODEL S,Vehicle
Yakima,Selah,BMW X5,Vehicle
Thurston,Olympia,NISSAN LEAF,Vehicle
King,Redmond,NISSAN LEAF,Vehicle
Kitsap,Port Orchard,TESLA MODEL S,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Thurston,Lacey,KIA NIRO,Vehicle
Snohomish,Lynnwood,TESLA MODEL 3,Vehicle
Kitsap,Seabeck,BMW I3,Vehicle
King,Renton,TESLA MODEL 3,Vehicle
Kitsap,Poulsbo,RIVIAN R1T,Vehicle
Snohomish,Everett,TESLA MODEL 3,Vehicle
Kitsap,Port Orchard,JEEP WRANGLER,Vehicle
Thurston,Olympia,AUDI Q5 E,Vehicle
Yakima,Selah,AUDI Q5 E,Vehicle
Yakima,Zillah,JEEP WRANGLER,Vehicle
Snohomish,Stanwood,TESLA MODEL S,Vehicle
Thurston,Olympia,CHRYSLER PACIFICA,Vehicle
King,Issaquah,TESLA MODEL 3,Vehicle
Snohomish,Bothell,TESLA MODEL Y,Vehicle
King,Redmond,TESLA MODEL S,Vehicle
Kitsap,Bremerton,TESLA MODEL 3,Vehicle
Snohomish,Bothell,CHEVROLET VOLT,Vehicle
Spokane,Spokane,CHEVROLET BOLT EV,Vehicle
Thurston,Tenino,FORD FUSION,Vehicle
Yakima,Yakima,HONDA CLARITY,Vehicle
Snohomish,Bothell,NISSAN LEAF,Vehicle
Snohomish,Snohomish,FORD ESCAPE,Vehicle
Kitsap,Bainbridge Island,VOLVO V60,Vehicle
Thurston,Lacey,TESLA MODEL Y,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
Thurston,Lacey,KIA EV6,Vehicle
King,Shoreline,NISSAN LEAF,Vehicle
Kitsap,Bremerton,NISSAN LEAF,Vehicle
Snohomish,Mukilteo,NISSAN LEAF,Vehicle
King,Kirkland,NISSAN LEAF,Vehicle
Thurston,Lacey,SMART EQ FORTWO,Vehicle
Thurston,Olympia,TESLA MODEL S,Vehicle
Kitsap,Poulsbo,CHEVROLET VOLT,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
King,Issaquah,NISSAN LEAF,Vehicle
Yakima,Selah,RIVIAN R1S,Vehicle
Yakima,Yakima,CHEVROLET VOLT,Vehicle
Snohomish,Everett,VOLKSWAGEN E-GOLF,Vehicle
Whitman,Pullman,TESLA MODEL 3,Vehicle
Yakima,Wapato,VOLVO EX90,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
Yakima,Yakima,TESLA MODEL X,Vehicle
Kitsap,Bremerton,TESLA MODEL S,Vehicle
Yakima,Yakima,TESLA MODEL S,Vehicle
King,Kent,BMW I3,Vehicle
King,Bellevue,KIA SOUL,Vehicle
Yakima,Yakima,TESLA MODEL Y,Vehicle
King,Duvall,TESLA MODEL 3,Vehicle
Skagit,Mount Vernon,TESLA MODEL X,Vehicle
Kitsap,Poulsbo,BMW I3,Vehicle
Walla Walla,College Place,CHEVROLET VOLT,Vehicle
Douglas,Orondo,BMW X5,Vehicle
Snohomish,Tulalip,AUDI Q5 E,Vehicle
Thurston,Olympia,TOYOTA RAV4 PRIME (PHEV),Vehicle
Thurston,Lacey,VOLKSWAGEN ID.4,Vehicle
Kitsap,Suquamish,NISSAN LEAF,Vehicle
Yakima,Yakima,KIA EV6,Vehicle
Island,Oak Harbor,LEXUS NX,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
Thurston,Tumwater,FORD C-MAX,Vehicle
King,Seattle,NISSAN LEAF,Vehicle
King,Kent,TESLA MODEL 3,Vehicle
King,Redmond,NISSAN LEAF,Vehicle
Kitsap,Bremerton,HYUNDAI KONA,Vehicle
King,Kent,TESLA MODEL 3,Vehicle
Yakima,Yakima,HONDA PROLOGUE,Vehicle
Kitsap,Poulsbo,JEEP GRAND CHEROKEE,Vehicle
Yakima,Yakima,TESLA MODEL 3,Vehicle
Walla Walla,College Place,BMW X5,Vehicle
Island,Clinton,TESLA MODEL Y,Vehicle
Thurston,Olympia,TESLA MODEL 3,Vehicle
Snohomish,Edmonds,NISSAN LEAF,Vehicle
Snohomish,Lynnwood,NISSAN LEAF,Vehicle
Kitsap,Bainbridge Island,AUDI Q5 E,Vehicle
Kitsap,Bainbridge Island,NISSAN LEAF,Vehicle
Yakima,Yakima,RIVIAN R1S,Vehicle
King,Seattle,FIAT 500,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Yakima,Yakima,POLESTAR PS2,Vehicle
Thurston,Tumwater,KIA SORENTO,Vehicle
Snohomish,Lake Stevens,TESLA MODEL 3,Vehicle
Snohomish,Monroe,TOYOTA RAV4 PRIME (PHEV),Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
Kitsap,Bainbridge Island,NISSAN LEAF,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Thurston,Lacey,TOYOTA RAV4 PRIME (PHEV),Vehicle
Island,Langley,TESLA MODEL 3,Vehicle
Snohomish,Monroe,AUDI Q5,Vehicle
Snohomish,Mill Creek,TESLA MODEL Y,Vehicle
Thurston,Olympia,FORD FUSION,Vehicle
Thurston,Olympia,TESLA MODEL S,Vehicle
Snohomish,Bothell,TESLA MODEL 3,Vehicle
Walla Walla,Walla Walla,BMW I3,Vehicle
Snohomish,Everett,TESLA MODEL 3,Vehicle
Snohomish,Edmonds,AUDI E-TRON,Vehicle
